Date,FIPS,MMWR_week,Recip_County,Recip_State,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Series_Complete_5to17,Series_Complete_5to17Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Booster_Doses,Booster_Doses_Vax_Pct,Booster_Doses_5Plus,Booster_Doses_5Plus_Vax_Pct,Booster_Doses_12Plus,Booster_Doses_12Plus_Vax_Pct,Booster_Doses_18Plus,Booster_Doses_18Plus_Vax_Pct,Booster_Doses_50Plus,Booster_Doses_50Plus_Vax_Pct,Booster_Doses_65Plus,Booster_Doses_65Plus_Vax_Pct,Second_Booster_50Plus,Second_Booster_50Plus_Vax_Pct,Second_Booster_65Plus,Second_Booster_65Plus_Vax_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_5PlusPop_Pct_SVI,Series_Complete_5to17Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI,Metro_status,Series_Complete_Pop_Pct_UR_Equity,Series_Complete_5PlusPop_Pct_UR_Equity,Series_Complete_5to17Pop_Pct_UR_Equity,Series_Complete_12PlusPop_Pct_UR_Equity,Series_Complete_18PlusPop_Pct_UR_Equity,Series_Complete_65PlusPop_Pct_UR_Equity,Booster_Doses_Vax_Pct_SVI,Booster_Doses_12PlusVax_Pct_SVI,Booster_Doses_18PlusVax_Pct_SVI,Booster_Doses_65PlusVax_Pct_SVI,Booster_Doses_Vax_Pct_UR_Equity,Booster_Doses_12PlusVax_Pct_UR_Equity,Booster_Doses_18PlusVax_Pct_UR_Equity,Booster_Doses_65PlusVax_Pct_UR_Equity,Census2019,Census2019_5PlusPop,Census2019_5to17Pop,Census2019_12PlusPop,Census2019_18PlusPop,Census2019_65PlusPop
09/28/2022,26039,39,Crawford County,MI,94.6,7421,52.9,7417,55.7,7402,59.7,7093,61.7,2799,77.3,7277,51.9,7276,54.6,430,23.5,7209,58.1,6846,59.6,2690,74.3,4161,57.2,4161,57.2,4150,57.6,4064,59.4,3323,68.3,2065,76.8,1054,31.7,797,38.6,B,6,6,5,6,6,7,Non-metro,6,6,5,6,6,7,8,8,8,7,8,8,8,7,14029,13327,1832,12409,11495,3620
09/28/2022,40015,39,Caddo County,OK,93.8,22364,77.8,22349,83.3,21678,90.4,19854,91.9,5682,95,19281,67,19280,71.9,2036,39,18749,78.1,17244,79.8,5072,95,8135,42.2,8135,42.2,8112,43.3,7847,45.5,5839,58,3404,67.1,1372,23.5,985,28.9,D,15,15,14,15,15,16,Non-metro,7,7,6,7,7,8,15,15,15,15,7,7,7,7,28762,26833,5227,23993,21606,4861
09/28/2022,17007,39,Boone County,IL,98.2,36064,67.4,35926,71.1,34289,75.1,31280,77.4,8165,94.5,33325,62.2,33285,65.9,4241,41.9,31835,69.8,29044,71.9,7606,88,17742,53.2,17741,53.3,17588,55.2,16801,57.8,11355,70.9,6190,81.4,4213,37.1,2892,46.7,B,6,7,7,7,7,8,Metro,2,3,3,3,3,4,8,8,8,8,4,4,4,4,53544,50538,10131,45636,40407,8642
09/28/2022,12055,39,Highlands County,FL,98.6,70044,65.9,70005,68.9,69215,73.2,66980,75.8,35858,93.7,56882,53.6,56880,56,2533,19.1,56265,59.5,54347,61.5,29168,76.2,25094,44.1,25093,44.1,25056,44.5,24764,45.6,22101,52.8,16927,58,6371,28.8,5372,31.7,D,14,14,13,14,14,15,Metro,2,2,1,2,2,3,15,15,15,14,3,3,3,2,106221,101611,13261,94526,88350,38289
09/28/2022,34029,39,Ocean County,NJ,94.1,401015,66,400498,71,392914,77.4,377056,81.9,137562,95,339403,55.9,339244,60.2,20052,19.4,332920,65.6,319192,69.3,115876,83.8,181160,53.4,181158,53.4,180649,54.3,177538,55.6,132712,65.7,84488,72.9,40577,30.6,31061,36.8,B,6,6,5,7,7,8,Metro,2,2,1,3,3,4,8,8,8,7,4,4,4,3,607186,563917,103421,507517,460496,138328
09/28/2022,01067,39,Henry County,AL,92.5,9545,55.5,9540,58.5,9449,63,9106,66.5,3448,85.5,7954,46.2,7954,48.8,356,13.6,7877,52.6,7598,55.5,2996,74.3,2967,37.3,2967,37.3,2961,37.6,2931,38.6,2511,49.1,1739,58,532,21.2,411,23.6,C,9,9,9,10,10,11,Metro,1,1,1,2,2,3,10,10,10,10,2,2,2,2,17205,16309,2612,14987,13697,4031
09/28/2022,27037,39,Dakota County,MN,94.7,329346,76.8,325220,81,303561,84.1,278334,85.7,61805,95,305740,71.3,304155,75.7,44113,57.6,284535,78.8,260042,80,58777,93.3,198766,65,198763,65.3,195053,68.6,183855,70.7,107572,82.4,53089,90.3,54718,50.9,33975,64,A,3,3,4,3,4,4,Metro,3,3,4,3,4,4,4,4,4,4,4,4,4,4,429021,401596,76630,360860,324966,63011
09/28/2022,27115,39,Pine County,MN,94.7,15977,54,15942,56.5,15525,59.7,14839,62.1,5402,85,14809,50.1,14797,52.4,995,23,14446,55.6,13802,57.8,5110,80.4,8940,60.4,8940,60.4,8902,61.6,8716,63.2,6654,71.7,3988,78,2852,42.9,2088,52.4,B,6,6,5,6,6,8,Non-metro,6,6,5,6,6,8,8,8,8,7,8,8,8,7,29579,28226,4330,25989,23896,6358
09/28/2022,51750,39,Radford city,VA,78.6,7307,40,7306,41.5,7281,43.5,6998,43.8,1271,73.8,6394,35,6394,36.3,238,14.4,6374,38.1,6156,38.6,1198,69.6,316,4.9,316,4.9,314,4.9,311,5.1,125,5.6,77,6.4,52,41.6,39,50.6,B,5,5,5,5,5,7,Metro,1,1,1,1,1,3,5,5,5,5,1,1,1,1,18249,17609,1648,16744,15961,1722
09/28/2022,22009,39,Avoyelles Parish,LA,96.9,22431,55.9,22408,59.7,22045,65.2,20773,67.6,5570,80.1,19461,48.5,19457,51.9,1325,19.6,19196,56.8,18132,59,5164,74.2,8201,42.1,8201,42.1,8186,42.6,8036,44.3,6138,59.1,3711,71.9,1473,24,1066,28.7,D,13,14,13,14,14,15,Non-metro,5,6,5,6,6,7,15,15,15,15,7,7,7,7,40144,37503,6770,33823,30733,6955
09/28/2022,13161,39,Jeff Davis County,GA,88.9,5510,36.5,5508,39,5451,43.4,5206,46.6,1663,68.2,4780,31.6,4780,33.9,234,8,4737,37.7,4546,40.7,1529,62.7,1610,33.7,1610,33.7,1606,33.9,1590,35,1218,43.9,783,51.2,216,17.7,168,21.5,D,13,13,13,13,13,14,Non-metro,5,5,5,5,5,6,14,14,14,14,6,6,6,6,15115,14116,2939,12553,11177,2440
09/28/2022,40101,39,Muskogee County,OK,93.8,46129,67.8,46072,72.5,45063,79,41990,81.7,12749,95,36160,53.2,36150,56.9,3206,26.3,35388,62.1,32944,64.1,10317,88.9,13402,37.1,13402,37.1,13352,37.7,13033,39.6,9841,51.1,6142,59.5,2507,25.5,1892,30.8,D,14,14,13,14,14,16,Non-metro,6,6,5,6,6,8,14,14,14,14,6,6,6,6,67997,63583,12189,57012,51394,11600
