gender,race,educ,pid3,turnout_self,pres_vote
Male,White,2-year,Republican,1,Donald J. Trump (Republican)
Female,White,Post-grad,Democrat,NA,NA
Female,White,4-year,Independent,1,Joe Biden (Democrat)
Female,White,4-year,Democrat,1,Joe Biden (Democrat)
Male,White,4-year,Independent,1,Other
Male,White,Some college,Republican,1,Donald J. Trump (Republican)
Male,Black,Some college,Not sure,NA,NA
Female,White,Some college,Independent,1,Donald J. Trump (Republican)
Female,White,High school graduate,Republican,1,Donald J. Trump (Republican)
Female,White,4-year,Democrat,1,Joe Biden (Democrat)
Female,White,4-year,Democrat,1,Joe Biden (Democrat)
Female,White,4-year,Democrat,1,Joe Biden (Democrat)
Male,White,Some college,Democrat,1,Joe Biden (Democrat)
Female,White,2-year,Democrat,1,Joe Biden (Democrat)
Male,White,Some college,Republican,1,Donald J. Trump (Republican)
Male,White,2-year,Other,1,Donald J. Trump (Republican)
Female,White,2-year,Republican,1,Donald J. Trump (Republican)
Male,Black,4-year,Democrat,1,Joe Biden (Democrat)
Female,Black,Post-grad,Democrat,1,Joe Biden (Democrat)
Male,White,4-year,Independent,1,Joe Biden (Democrat)
Female,White,4-year,Democrat,1,Joe Biden (Democrat)
Female,Black,Some college,Independent,1,Donald J. Trump (Republican)
Female,White,Some college,Democrat,1,Joe Biden (Democrat)
Female,White,Post-grad,Democrat,1,Joe Biden (Democrat)
Female,White,Post-grad,Democrat,1,Joe Biden (Democrat)
Female,White,Some college,Democrat,0,NA
Female,White,Some college,Democrat,1,Joe Biden (Democrat)
Female,White,High school graduate,Independent,1,Donald J. Trump (Republican)
Male,White,2-year,Other,NA,NA
Male,White,Some college,Independent,1,Donald J. Trump (Republican)
Male,White,4-year,Independent,1,Joe Biden (Democrat)
Female,White,4-year,Not sure,NA,NA
Female,White,2-year,Democrat,1,Joe Biden (Democrat)
Male,White,High school graduate,Independent,1,Donald J. Trump (Republican)
Female,White,4-year,Republican,1,Donald J. Trump (Republican)
Female,White,2-year,Independent,NA,NA
Female,White,Some college,Democrat,1,Joe Biden (Democrat)
Male,White,2-year,Independent,1,Donald J. Trump (Republican)
Female,Black,Post-grad,Independent,1,Joe Biden (Democrat)
Male,White,2-year,Independent,1,Donald J. Trump (Republican)
Female,White,Some college,Democrat,1,Joe Biden (Democrat)
Female,White,Post-grad,Not sure,1,Donald J. Trump (Republican)
Female,White,Some college,Republican,1,Other
Male,White,Post-grad,Republican,1,Donald J. Trump (Republican)
Female,Other,4-year,Independent,1,Other
Female,White,Post-grad,Democrat,1,Joe Biden (Democrat)
Female,White,Post-grad,Democrat,1,Joe Biden (Democrat)
Female,White,Post-grad,Democrat,1,Joe Biden (Democrat)
Female,White,Post-grad,Democrat,1,Joe Biden (Democrat)
Female,White,4-year,Republican,1,Donald J. Trump (Republican)
Male,White,4-year,Other,1,Other
Male,White,High school graduate,Independent,1,Donald J. Trump (Republican)
Female,White,2-year,Democrat,1,Joe Biden (Democrat)
Male,White,Post-grad,Republican,1,Donald J. Trump (Republican)
Female,White,4-year,Democrat,1,Joe Biden (Democrat)
Female,White,4-year,Republican,1,Donald J. Trump (Republican)
Male,White,Post-grad,Democrat,1,Joe Biden (Democrat)
Male,Hispanic,4-year,Republican,1,Donald J. Trump (Republican)
Female,White,High school graduate,Independent,NA,NA
Female,White,Post-grad,Independent,0,NA
Female,White,High school graduate,Democrat,1,Joe Biden (Democrat)
Female,White,Some college,Independent,1,Joe Biden (Democrat)
Female,Hispanic,4-year,Democrat,1,Joe Biden (Democrat)
Female,White,High school graduate,Republican,1,Donald J. Trump (Republican)
Female,White,4-year,Democrat,1,Joe Biden (Democrat)
Male,Two or more races,Post-grad,Republican,1,Donald J. Trump (Republican)
Male,White,4-year,Independent,1,Other
Male,White,Post-grad,Democrat,1,Joe Biden (Democrat)
Male,White,2-year,Independent,1,Donald J. Trump (Republican)
Female,White,Post-grad,Democrat,1,Joe Biden (Democrat)
Female,White,2-year,Independent,1,Donald J. Trump (Republican)
Female,White,Post-grad,Republican,1,Donald J. Trump (Republican)
Female,White,Some college,Republican,1,Donald J. Trump (Republican)
Female,White,Post-grad,Democrat,1,Joe Biden (Democrat)
Female,White,2-year,Republican,1,Donald J. Trump (Republican)
Female,White,4-year,Republican,1,Donald J. Trump (Republican)
Male,Hispanic,Post-grad,Independent,1,Joe Biden (Democrat)
Female,White,Some college,Independent,1,Donald J. Trump (Republican)
Male,White,2-year,Democrat,1,Joe Biden (Democrat)
Female,Asian,Post-grad,Independent,1,Other
Female,White,Some college,Democrat,1,Joe Biden (Democrat)
Male,White,Some college,Democrat,1,Joe Biden (Democrat)
Male,White,Post-grad,Republican,1,Donald J. Trump (Republican)
Female,White,Some college,Republican,1,Donald J. Trump (Republican)
Female,White,Post-grad,Independent,1,Other
Female,White,2-year,Republican,1,Donald J. Trump (Republican)
Female,Hispanic,Post-grad,Democrat,1,Joe Biden (Democrat)
Male,White,Some college,Republican,1,Donald J. Trump (Republican)
Male,Other,4-year,Democrat,1,Joe Biden (Democrat)
