callsign,affiliation,date,weekday,ideology,national_politics,local_politics,sinclair2017,post,month
KRBC,NBC,2017-06-05,Mon,NA,0.0285645,0.019043,0,0,Jun
KTAB,CBS,2017-06-05,Mon,NA,0.0285645,0.019043,0,0,Jun
KXVA,FOX,2017-06-05,Mon,NA,0.03927675,0.0261845,0,0,Jun
KPAX,CBS,2017-06-06,Tue,NA,0.003571995,0.194079915,0,0,Jun
KTAB,CBS,2017-06-06,Tue,NA,0.09446436250000001,0.10893355000000002,0,0,Jun
KECI,NBC,2017-06-07,Wed,0.06552370569834422,0.22457203743902437,0.1484579174390244,1,0,Jun
KPAX,CBS,2017-06-07,Wed,0.08526271631761358,0.28261554758064517,0.12273376822580645,0,0,Jun
KRBC,NBC,2017-06-07,Wed,0.018271677533258843,0.13029821742857145,0.189195626,0,0,Jun
KTAB,CBS,2017-06-07,Wed,0.08498022722261264,0.0901329223076923,0.13771307448717948,0,0,Jun
KTMF,ABC,2017-06-07,Wed,0.08423892059361932,0.15184232333333333,0.12890631333333333,0,0,Jun
KTXS,ABC,2017-06-07,Wed,-4.875094396043166e-4,0.09246995771428572,0.07910878628571429,1,0,Jun
KXVA,FOX,2017-06-07,Wed,NA,0.0071784,0.0047856,0,0,Jun
KAEF,ABC,2017-06-08,Thu,0.04258546175221582,0.21306775238095238,0.22821331714285717,1,0,Jun
KBVU,FOX,2017-06-08,Thu,-0.08599851393922366,0.16915874416666668,0.24724751333333336,1,0,Jun
KECI,NBC,2017-06-08,Thu,0.0902075778550999,0.27586636830985917,0.15175156985915494,1,0,Jun
KPAX,CBS,2017-06-08,Thu,0.0668038746441598,0.30470515086956523,0.12432579565217391,0,0,Jun
KRBC,NBC,2017-06-08,Thu,0.10769465006841433,0.15593672766666666,0.1455824095,0,0,Jun
KTAB,CBS,2017-06-08,Thu,-0.017763107363869966,0.07257271717948717,0.15547547256410257,0,0,Jun
KTMF,ABC,2017-06-08,Thu,0.043302078541018,0.17874445238095238,0.13926409333333334,0,0,Jun
KTXS,ABC,2017-06-08,Thu,0.06267392864787345,0.15843003785714285,0.11475488171428572,1,0,Jun
KXVA,FOX,2017-06-08,Thu,NA,0.01236639,0.08733125,0,0,Jun
WCTI,ABC,2017-06-08,Thu,0.1387805920697677,0.22456555272727272,0.07590897181818182,1,0,Jun
KAEF,ABC,2017-06-09,Fri,0.08702630589408647,0.15333716649122808,0.2690658110526316,1,0,Jun
KBVU,FOX,2017-06-09,Fri,NA,0.05532679363636364,0.38352611727272723,1,0,Jun
KECI,NBC,2017-06-09,Fri,0.11466482587500784,0.21617469060975608,0.10807216390243903,1,0,Jun
KPAX,CBS,2017-06-09,Fri,0.08815400748500311,0.31503318655172413,0.12781242586206898,0,0,Jun
KRBC,NBC,2017-06-09,Fri,0.09289210627378558,0.1518100411666667,0.14685621133333332,0,0,Jun
KTAB,CBS,2017-06-09,Fri,0.05882387054861095,0.0711036561038961,0.1759999446753247,0,0,Jun
KTMF,ABC,2017-06-09,Fri,NA,0.049505021999999996,0.0999142772,0,0,Jun
KTXS,ABC,2017-06-09,Fri,0.08793559716662859,0.07904787656716418,0.13125866940298506,1,0,Jun
KXVA,FOX,2017-06-09,Fri,NA,0.026543062666666666,0.07695939466666667,0,0,Jun
WCTI,ABC,2017-06-09,Fri,0.06667720255467946,0.18213064172839508,0.11118065407407408,1,0,Jun
WITN,NBC,2017-06-09,Fri,-0.0683332579888884,0.14606803375,0.185163935625,0,0,Jun
WNCT,CBS,2017-06-09,Fri,-0.01811262538236336,0.12618896764705884,0.19820195029411763,0,0,Jun
WYDO,FOX,2017-06-09,Fri,-0.032978441921671375,0.08022451217391305,0.1941206491304348,1,0,Jun
KAEF,ABC,2017-06-12,Mon,0.013477611270258115,0.14855303543478263,0.18790341217391304,1,0,Jun
KBVU,FOX,2017-06-12,Mon,0.12970990471250127,0.14904486,0.28705964727272726,1,0,Jun
KBZK,CBS,2017-06-12,Mon,-0.05837404406305602,0.19617954385714284,0.11787155814285713,0,0,Jun
KCVU,FOX,2017-06-12,Mon,NA,0.024219422727272726,0.3592338390909091,1,0,Jun
KECI,NBC,2017-06-12,Mon,0.1693350536984049,0.19421761265060242,0.09847201361445784,1,0,Jun
