state,middate,daysleft,pollster,clinton,trump
AK,8/11/16,89,Lake Research Partners,30,38
AK,8/20/16,80,SurveyMonkey,31,38
AK,10/20/16,19,YouGov,37.4,37.7
AK,10/26/16,13,Google Consumer Surveys,38,39
AK,9/30/16,39,Google Consumer Surveys,47.46,36.7
AK,10/12/16,27,Google Consumer Surveys,34.6,29.98
AK,11/4/16,4,SurveyMonkey,31,48
AK,9/23/16,46,Google Consumer Surveys,28.37,37.74
AK,9/14/16,55,Moore Information,31,39
AK,10/22/16,17,SurveyMonkey,31,46
AK,10/17/16,22,Google Consumer Surveys,28.07,36.9
AK,10/5/16,34,Moore Information,34,37
AK,10/22/16,17,Google Consumer Surveys,37.32,33.15
AK,10/23/16,16,Craciun Research,47,43
AK,10/24/16,15,SurveyMonkey,33,45
AK,10/29/16,10,SurveyMonkey,37,46
AK,11/1/16,7,SurveyMonkey,33,46
AK,11/2/16,6,SurveyMonkey,31,47
AK,10/27/16,12,SurveyMonkey,39,47
AK,9/30/16,39,Ivan Moore Research,30.6,36.1
AK,10/28/16,11,Google Consumer Surveys,29.31,32.58
AK,8/13/16,87,Google Consumer Surveys,31.73,28.39
AK,10/21/16,18,SurveyMonkey,31,46
AK,9/10/16,59,Google Consumer Surveys,23.35,41.15
AK,10/12/16,27,Lake Research Partners,36,37
AK,8/20/16,80,Google Consumer Surveys,29.51,37.98
AK,11/4/16,4,Gravis Marketing,41,44
AK,10/28/16,11,SurveyMonkey,38,46
AK,9/3/16,66,Google Consumer Surveys,18.06,44.22
AK,8/27/16,73,Google Consumer Surveys,30.84,29.36
AK,1/8/16,305,Ivan Moore Research,44.1,49.3
AK,10/30/16,9,SurveyMonkey,35,47
AK,10/6/16,33,Google Consumer Surveys,29.97,27.17
AK,10/31/16,8,SurveyMonkey,35,46
AK,8/28/16,72,Moore Information,29,39
AK,9/17/16,52,Google Consumer Surveys,20.82,39.24
AK,6/18/16,143,Ivan Moore Research,30,39
AK,11/4/16,4,Google Consumer Surveys,23.23,47.41
AL,10/28/16,11,Google Consumer Surveys,20.38,56.12
AL,10/6/16,33,Ipsos,38.3,53.84
