end_date,days_left,pollster,sample_size,biden,trump
2020-11-03,0,Lake Research,2400,51,48
2020-11-02,1,The Political Matrix/The Listener Group,966,44.2,48
2020-11-02,1,Susquehanna,499,48.4,49.2
2020-11-02,1,InsiderAdvantage,400,47,48.2
2020-11-02,1,Research Co.,1025,50,42
2020-11-02,1,YouGov,1363,53,43
2020-11-02,1,Ipsos,914,52,45
2020-11-02,1,Trafalgar Group,1054,47.3,49.4
2020-11-02,1,SurveyMonkey,28240,52,46
2020-11-02,1,Trafalgar Group,1024,48.4,49.1
2020-11-02,1,Trafalgar Group,1041,45.4,49.7
2020-11-02,1,Øptimus,817,39,51.4
2020-11-02,1,HarrisX,2297,52,48
2020-11-02,1,University of Nevada Las Vegas Lee Business School,191,50.2,44.3
2020-11-02,1,Change Research,547,50,47
2020-11-02,1,Change Research,920,45,50
2020-11-02,1,Change Research,1024,52,40
2020-11-02,1,Change Research,475,48.5,48
2020-11-02,1,Change Research,549,56,35
2020-11-02,1,TIPP,1212,50.45,46.05
2020-11-02,1,Ipsos,610,50,47.5
2020-11-02,1,Swayable,1261,53,45.5
2020-11-02,1,Swayable,690,52.3,46.4
2020-11-02,1,Swayable,1107,49.9,48.4
2020-11-02,1,Swayable,1151,47.2,51.2
2020-11-02,1,USC Dornsife,5423,53.900000000000006,42.36
2020-11-02,1,SurveyMonkey,367,33,66
2020-11-02,1,SurveyMonkey,816,32,67
2020-11-02,1,SurveyMonkey,2814,54,44
2020-11-02,1,SurveyMonkey,4142,62,35
2020-11-02,1,SurveyMonkey,906,71,26
2020-11-02,1,SurveyMonkey,4550,57,41
2020-11-02,1,SurveyMonkey,1586,43,55
2020-11-02,1,SurveyMonkey,9226,47,51
2020-11-02,1,SurveyMonkey,3342,45,54
2020-11-02,1,SurveyMonkey,606,36,63
2020-11-02,1,SurveyMonkey,2485,42,56
2020-11-02,1,SurveyMonkey,566,62,36
2020-11-02,1,SurveyMonkey,6045,52,47
2020-11-02,1,SurveyMonkey,3543,59,39
2020-11-02,1,SurveyMonkey,1902,35,65
2020-11-02,1,SurveyMonkey,6025,47,51
2020-11-02,1,SurveyMonkey,6548,63,35
2020-11-02,1,SurveyMonkey,2366,49,49
2020-11-02,1,SurveyMonkey,1481,56,42
2020-11-02,1,SurveyMonkey,3870,59,38
2020-11-02,1,SurveyMonkey,1013,54,45
2020-11-02,1,SurveyMonkey,1742,43,56
2020-11-02,1,SurveyMonkey,402,39,59
2020-11-02,1,SurveyMonkey,5363,50,48
2020-11-02,1,SurveyMonkey,1021,46,52
2020-11-02,1,SurveyMonkey,1461,37,61
2020-11-02,1,SurveyMonkey,2926,44,54
2020-11-02,1,SurveyMonkey,3031,56,41
2020-11-02,1,SurveyMonkey,4549,52,46
2020-11-02,1,SurveyMonkey,1274,56,42
2020-11-02,1,SurveyMonkey,3216,66,31
2020-11-02,1,SurveyMonkey,3653,69,29
