"state","state.name","clinton","trump","ev"
"AK","Alaska",36.55,51.28,3
"AL","Alabama",34.36,62.08,9
"AR","Arkansas",33.65,60.57,6
"AZ","Arizona",44.58,48.08,11
"CA","California",61.48,31.49,55
"CO","Colorado",48.16,43.25,9
"CT","Connecticut",54.57,40.93,7
"DC","District of Columbia",90.86,4.09,3
"DE","Delaware",53.09,41.71,3
"FL","Florida",47.41,48.6,29
"GA","Georgia",45.35,50.44,16
"HI","Hawaii",62.22,30.04,4
"IA","Iowa",41.74,51.15,6
"ID","Idaho",27.48,59.25,4
"IL","Illinois",55.24,38.36,20
"IN","Indiana",37.46,56.47,11
"KS","Kansas",35.74,56.16,6
"KY","Kentucky",32.68,62.52,8
"LA","Louisiana",38.45,58.09,8
"MA","Massachusetts",60.01,32.81,11
"MD","Maryland",60.33,33.91,10
"ME","Maine",47.83,44.87,4
"MI","Michigan",47.03,47.25,16
"MN","Minnesota",46.44,44.93,10
"MO","Missouri",37.87,56.38,10
"MS","Mississippi",40.06,57.86,6
"MT","Montana",35.41,55.65,3
"NC","North Carolina",46.17,49.83,15
"ND","North Dakota",27.23,62.96,3
"NE","Nebraska",33.7,58.75,5
"NH","New Hampshire",46.83,46.46,4
"NJ","New Jersey",54.99,41,14
"NM","New Mexico",48.26,40.04,5
"NV","Nevada",47.92,45.5,6
"NY","New York",59,36.51,29
"OH","Ohio",43.24,51.31,18
"OK","Oklahoma",28.93,65.32,7
"OR","Oregon",50.07,39.09,7
"PA","Pennsylvania",47.46,48.17,20
"RI","Rhode Island",54.41,38.9,4
"SC","South Carolina",40.67,54.94,9
"SD","South Dakota",31.74,61.53,3
"TN","Tennessee",34.72,60.72,11
"TX","Texas",43.12,52.1,38
"UT","Utah",27.17,45.05,6
"VA","Virginia",49.75,44.43,13
"VT","Vermont",56.68,30.27,3
"WA","Washington",52.54,36.83,12
"WI","Wisconsin",46.45,47.22,10
"WV","West Virginia",26.18,67.85,5
"WY","Wyoming",21.88,68.17,3
